epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,2042.86,0.62504,0.4158,1.32257,0.96602,0.83976,0.9239,0.76397,0.66377,0.5307,1.33684,0.00121295,0.00121295,0.00121295
161,2055.29,0.63531,0.43259,1.32024,0.96095,0.84861,0.92747,0.7722,0.6406,0.5304,1.35069,0.001208,0.001208,0.001208
162,2067.71,0.63624,0.43274,1.37079,0.96784,0.82961,0.9129,0.75847,0.68052,0.57862,1.36869,0.00120305,0.00120305,0.00120305
163,2080.22,0.62904,0.44697,1.34857,0.95075,0.86138,0.93203,0.77457,0.64495,0.52392,1.3223,0.0011981,0.0011981,0.0011981
164,2092.74,0.60978,0.41787,1.31173,0.95428,0.85396,0.93563,0.78139,0.63961,0.50639,1.33389,0.00119315,0.00119315,0.00119315
165,2105.45,0.6226,0.41505,1.32316,0.94666,0.86404,0.92511,0.77594,0.64494,0.58442,1.3661,0.0011882,0.0011882,0.0011882
166,2117.93,0.61869,0.425,1.3465,0.94537,0.87756,0.93437,0.77192,0.66015,0.52452,1.35821,0.00118325,0.00118325,0.00118325
167,2130.46,0.62372,0.41285,1.37431,0.94829,0.85598,0.91804,0.76825,0.63717,0.54765,1.3432,0.0011783,0.0011783,0.0011783
168,2142.97,0.61632,0.42216,1.32299,0.96299,0.8499,0.91825,0.77526,0.63526,0.57024,1.32477,0.00117335,0.00117335,0.00117335
169,2155.43,0.63099,0.43321,1.38786,0.9479,0.84887,0.92135,0.76636,0.66314,0.54775,1.35565,0.0011684,0.0011684,0.0011684
170,2167.91,0.63941,0.4275,1.34947,0.9345,0.87424,0.92878,0.77634,0.63821,0.52228,1.30584,0.00116345,0.00116345,0.00116345
171,2180.46,0.64192,0.43519,1.33337,0.95447,0.8641,0.92741,0.77238,0.65726,0.51764,1.3089,0.0011585,0.0011585,0.0011585
172,2192.95,0.61808,0.41521,1.33678,0.96041,0.83659,0.91522,0.75079,0.67441,0.55353,1.32116,0.00115355,0.00115355,0.00115355
173,2205.54,0.62161,0.41922,1.3514,0.94804,0.85122,0.92979,0.77837,0.64521,0.49673,1.30547,0.0011486,0.0011486,0.0011486
174,2218.11,0.6133,0.41755,1.31336,0.9722,0.85138,0.92377,0.78015,0.63282,0.58832,1.33469,0.00114365,0.00114365,0.00114365
175,2230.44,0.6019,0.41886,1.29555,0.94494,0.86815,0.93145,0.78373,0.63842,0.52827,1.30459,0.0011387,0.0011387,0.0011387
176,2243.11,0.61808,0.41581,1.34701,0.95764,0.86004,0.93688,0.78119,0.65233,0.51794,1.32564,0.00113375,0.00113375,0.00113375
177,2255.74,0.60195,0.41642,1.28368,0.93947,0.86815,0.93062,0.77621,0.65919,0.53135,1.32717,0.0011288,0.0011288,0.0011288
178,2268.35,0.61595,0.41067,1.33215,0.96155,0.86234,0.92439,0.77652,0.63841,0.52419,1.34117,0.00112385,0.00112385,0.00112385
179,2280.92,0.62376,0.41962,1.30675,0.9545,0.8511,0.92181,0.76472,0.65573,0.55893,1.35581,0.0011189,0.0011189,0.0011189
180,2293.81,0.62545,0.42205,1.33425,0.9445,0.86306,0.92611,0.77439,0.64629,0.54406,1.32997,0.00111395,0.00111395,0.00111395
