epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,2207.32,1.02826,0.49777,1.05386,0.97396,0.89011,0.95299,0.64512,1.15689,0.47083,1.12155,0.0070795,0.0070795,0.0070795
120,2225.57,1.03699,0.50694,1.0536,0.96302,0.91941,0.95316,0.65054,1.15425,0.4788,1.12266,0.00705475,0.00705475,0.00705475
121,2243.94,1.0245,0.50154,1.05139,0.96132,0.9104,0.9494,0.6463,1.15666,0.47781,1.1204,0.00703,0.00703,0.00703
122,2262.84,1.03293,0.50575,1.04526,0.97287,0.91943,0.95539,0.64682,1.16134,0.46697,1.12572,0.00700525,0.00700525,0.00700525
123,2281.5,1.0154,0.49219,1.04799,0.96833,0.90659,0.95754,0.64959,1.16025,0.46669,1.12372,0.0069805,0.0069805,0.0069805
124,2299.96,1.02886,0.50058,1.05269,0.97309,0.91575,0.95918,0.65431,1.14978,0.47025,1.13244,0.00695575,0.00695575,0.00695575
125,2318.14,1.00499,0.50102,1.05451,0.97305,0.91209,0.95431,0.64816,1.13846,0.46194,1.12332,0.006931,0.006931,0.006931
126,2336.32,1.00973,0.49622,1.05126,0.96283,0.90476,0.95099,0.65627,1.14438,0.46651,1.11562,0.00690625,0.00690625,0.00690625
127,2354.82,1.00676,0.49493,1.03671,0.97428,0.90205,0.95226,0.64995,1.15595,0.46797,1.12055,0.0068815,0.0068815,0.0068815
128,2373.07,1.02085,0.50132,1.04029,0.95828,0.92674,0.9532,0.64936,1.14844,0.45764,1.12088,0.00685675,0.00685675,0.00685675
129,2391.85,1.00849,0.49263,1.04272,0.97046,0.91575,0.9474,0.65721,1.15292,0.46009,1.12114,0.006832,0.006832,0.006832
130,2410.51,1.00755,0.49327,1.04155,0.97542,0.91026,0.9526,0.65664,1.14492,0.45745,1.11812,0.00680725,0.00680725,0.00680725
131,2429.39,0.99625,0.48376,1.03512,0.98782,0.89111,0.95488,0.65202,1.13314,0.46175,1.11811,0.0067825,0.0067825,0.0067825
132,2447.93,1.00374,0.49584,1.04802,0.97591,0.8956,0.9485,0.65128,1.13887,0.46763,1.11509,0.00675775,0.00675775,0.00675775
133,2466.16,0.99767,0.4848,1.03579,0.97816,0.90236,0.95026,0.64869,1.14184,0.45914,1.12339,0.006733,0.006733,0.006733
